id,dam_name,country,continent,river,latitude,longitude,dam_type,status,year_completed,dam_height_m,dam_length_m,reservoir_capacity_bcm,hydropower_capacity_mw,data_confidence,data_source,source_url,dam_age_years,hydrological_indicator,downstream_exposure,seismic_indicator,structural_indicator,official_validation_required
CHN-001,Three Gorges Dam,China,Asia,Yangtze,30.823,111.003,Concrete gravity,Existing,2006,181,2309.5,39.3,22500,High,China Three Gorges Corporation,https://tgf.ctg.com.cn/eportal/ui?pageId=720862,20,Screening only,Not calculated,Not calculated,Screening only,True
CHN-002,Xiluodu Dam,China,Asia,Jinsha River,28.26,103.64,Concrete arch,Existing,2015,285.5,700,12.67,13860,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,11,Screening only,Not calculated,Not calculated,Screening only,True
CHN-003,Xiangjiaba Dam,China,Asia,Jinsha River,28.63,104.4,Concrete gravity,Existing,2012,161,909,5.163,7750,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,14,Screening only,Not calculated,Not calculated,Screening only,True
CHN-004,Longyangxia Dam,China,Asia,Yellow River,36.05,100.78,Concrete gravity,Existing,1989,178,1227,24.7,1280,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,37,Screening only,Not calculated,Not calculated,Screening only,True
CHN-005,Xiaowan Dam,China,Asia,Lancang River,24.7,100.09,Concrete arch,Existing,2010,294.5,902,15.043,4200,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,16,Screening only,Not calculated,Not calculated,Screening only,True
CHN-006,Ertan Dam,China,Asia,Yalong River,26.87,101.79,Concrete arch,Existing,2000,240,774,5.8,3300,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,26,Screening only,Not calculated,Not calculated,Screening only,True
CHN-007,Danjiangkou Dam,China,Asia,Han River,32.78,111.51,Concrete gravity,Existing,1973,97,3441,29.05,900,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,53,Screening only,Not calculated,Not calculated,Screening only,True
IND-001,Tehri Dam,India,Asia,Bhagirathi,30.38,78.48,Earth and rock-fill,Existing,2006,260.5,575,3.54,1000,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,20,Screening only,Not calculated,Not calculated,Screening only,True
IND-002,Bhakra Dam,India,Asia,Sutlej,31.41,76.44,Concrete gravity,Existing,1963,226,520,9.62,1325,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,63,Screening only,Not calculated,Not calculated,Screening only,True
IND-003,Sardar Sarovar Dam,India,Asia,Narmada,21.83,73.75,Concrete gravity,Existing,2017,163,1210,9.46,1450,Medium,Public engineering references; GDW framework,https://www.globaldamwatch.org/database,9,Screening only,Not calculated,Not calculated,Screening only,True
